,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R32.0,18.298728560173334,16.204212769121558,14.992743698613882,13.833821725544297,12.826150965696614,12.067595622695542,11.075666242340901,10.414325781747749,9.94407148064434,9.50169330090049,9.296512237891807,9.196790671820937,8.760272744918844,8.02913592733865,7.438228016548631,7.111596800868064,6.943678265652116,6.790801561045377,6.6470772750854525,6.551393597956615,6.417365242941571,6.246565742050139,6.08789258943616,6.01340155552999,5.947974366152685,6.167877055079119,5.898414491251376
R33.0,18.637707553506175,16.522443454187986,15.291512584679595,14.10554655154612,13.070639636654297,12.285602551757258,11.260849668532256,10.587612445388354,10.10484375617779,9.648160517769304,9.432185152375078,9.326368178315594,8.88630390043173,8.14784528662863,7.545407554628667,7.202319221690269,7.030199094771884,6.872726671090476,6.729821657776197,6.654009948480662,6.494660551220694,6.3213118964764945,6.158346592984756,6.081934956428064,6.01624656225607,5.9669830351220075,5.963137614799965
R34.0,18.98186645351423,16.841528208578694,15.592036880291085,14.384136220401952,13.32293208319774,12.507889477235633,11.445871523266646,10.763602195684703,10.265443421073815,9.793425362328197,9.566001294507913,9.458289555774693,9.013090196660144,8.259920006410137,7.645548739694292,7.309685752573324,7.116569467980755,6.954261069666719,6.8195582361444504,6.707559254094129,6.573871504937834,6.393828351561476,6.264412422378202,6.150924252530267,6.082237618096163,6.031767469552609,6.0256920817394235
R35.0,19.322741007225687,17.16411206578763,15.897032395223404,14.664146288940028,13.577867561536127,12.734600242427366,11.629604220445767,10.930847647190944,10.424993930177262,9.936573141920777,9.699600743735285,9.582267655698777,9.133475760187197,8.37466083723524,7.744770715728569,7.387401451581106,7.200034971276099,7.03268332337281,6.8819641817333945,6.783191996471722,6.643754563960171,6.46431628837076,6.299355098520566,6.2164731248309115,6.1461507964955295,6.167100785436072,6.0836566023300644
R36.0,19.66655744031933,17.492096658629386,16.20570489722708,14.950389606418582,13.83814635883159,12.97075949782699,11.821984952161717,11.100113548984304,10.582751038296063,10.079697305046267,9.829862575092385,9.71405745843375,9.247496405652502,8.478455053146995,7.8437762914378375,7.491108727236027,7.280463279330165,7.106685508067483,6.956622660565936,6.854759461026662,6.715953768605539,6.532694026188089,6.363495674798974,6.2794200886864715,6.207565438733505,6.1773469152641605,6.142404295615332
R37.0,20.010741643295486,17.819973879940108,16.519065274985365,15.241720941305406,14.102984267615271,13.208572527598523,12.014353229661273,11.270780312445984,10.741942076741505,10.222543093776874,9.964502325307015,9.82761509012692,9.371193702995722,8.587562472003835,7.939260556796029,7.568059277892848,7.360037722248709,7.180855435008504,7.029040547576473,6.92609278101534,6.787131091296738,6.599172736610527,6.424233281585517,6.3432868063350885,6.268069273920314,6.213449681364322,6.199630629098701
R38.0,20.357776351608827,18.151373121849915,16.834329173921954,15.535336401090403,14.374986786561493,13.450500353591345,12.21030743577979,11.44340073766251,10.898166088313326,10.365667895891043,10.089138456007099,9.946021800665434,9.518677819447555,8.692155327283716,8.032945416697954,7.644675857840406,7.435559592379478,7.25634711640635,7.096760932269706,6.994421757249432,6.856377013736875,6.664489242354856,6.48699109711936,6.402237495645777,6.326615264106576,6.271484771839763,6.254876777803722
R39.0,20.70442000310998,18.484931411635884,17.153611785143422,15.835364279121565,14.65076197794247,13.696558636692057,12.413933055289617,11.62070028103825,11.056469753915518,10.505879511757133,10.216664062645666,10.207003369176306,9.591162061953481,8.81814356997948,8.207343231309265,7.985942403359951,7.5094841085215265,7.3216454793135295,7.1643990735329,7.061810886964983,6.918117115794943,6.733379322658725,6.547004459259046,6.467175475184613,6.384023182981945,6.326467758370885,6.309154155700245
R40.0,21.049025022150264,18.81912154720637,17.47678661020803,16.140480826293388,14.931752580815907,13.953588171238613,12.619596134711465,11.802660077310207,11.217852234878574,10.6466218883991,10.344290660685761,10.182668854965605,9.700823166482298,8.89458179936928,8.21759407580922,7.829850175068943,7.582661948046034,7.475094752604336,7.229621199334044,7.126609136493132,6.983259013803344,6.788509020206631,6.604912614829878,6.516901271754863,6.4396647037883845,6.384518349827739,6.361804207803914
R41.0,21.400376025562622,19.16161673534199,17.80504800609844,16.450251074456986,15.218101110373514,14.212611022800623,12.832969663294854,11.989411760203957,11.384632756566578,10.788231289659436,10.469870597992633,10.296787519848024,9.805913116891197,8.993827457899645,8.307152115949883,7.892993326997594,7.652278125328488,7.521413119052733,7.293677079956346,7.190758223093329,7.046689501528739,6.849851579953079,6.678786584215397,6.5757068645561105,6.494719198166855,6.434246944173586,6.412749575830014
R42.0,21.75273018226701,19.501753003415697,18.13515528034479,16.761894440694913,15.5098476845534,14.475550195564516,13.050159363136284,12.181387881150796,11.555643121520427,10.9347760291193,10.595540168358003,10.410411167862959,9.912860546358559,9.087841488760343,8.393866039072174,7.970292225280298,7.7208173914098595,7.516370673738066,7.356236878237663,7.253120112068142,7.108884068344318,6.910601216956417,6.719897692313749,6.630427690467609,6.5482525602446895,6.485619899774679,6.463365275443419
R43.0,22.113324326748398,19.84838324187986,18.468407513929733,17.080213594539075,15.805269454378575,14.745526931426568,13.271700691425234,12.37698147139069,11.732534759229363,11.08559636337316,10.722218008342743,10.524847640516352,10.01763190388687,9.334551796828563,8.493000987386399,8.047222154174548,7.88377201583661,7.578961783020613,7.417421434786853,7.3149363104542795,7.168209461119624,6.966412033055628,6.773813909614348,6.681639235569985,6.600612344332032,6.5360508696297455,6.512523552002486
R44.0,22.478021868007772,20.20044601876509,18.805965463877055,17.40152293455438,16.10517647238776,15.020721045744562,13.502068127280108,12.578011388716451,11.913462473582609,11.241822806790497,10.851927327082606,10.635528970273544,10.122622881207601,9.296188221706764,8.694375507928441,8.124107806442998,7.855779077787243,7.64402529458204,7.478211770674562,7.375315467727342,7.227909005065695,7.048912554275795,6.8266877169419,6.734003765579363,6.651782894635993,6.587067077800013,6.559860327006097
R45.0,22.852218792422846,20.56276087905845,19.151733903305647,17.72592482741109,16.408472451910576,15.299371450745856,13.733767460797834,12.784750204785876,12.10031168158351,11.40371505532552,10.988201979239445,10.745545031051385,10.226254313498998,9.377581068690525,8.670750637268084,8.198827620151311,7.921215716740075,7.704927668872051,7.536526730778523,7.43359032192372,7.286733563114378,7.079402836632496,6.880610624336233,6.786420991817366,6.70112000198901,6.6353421402476105,6.611890339258034
R46.0,23.23074344302477,20.9303327693706,19.500254378000932,18.05536883942697,16.71571654692152,15.58168506380245,13.968799010985794,12.995194496230738,12.291300135112627,11.569124750845226,11.127092296097167,10.855958674923688,10.325458181706383,9.469920641473024,8.735495770939234,8.273095566231177,7.98792707471869,7.761045069132134,7.59440171140348,7.491752949066994,7.344281471439433,7.133337626318469,6.932616725871162,6.836122842428913,6.749620716183423,6.681375552111482,6.652073154002354
