,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R25.0,15.964964567539363,14.924469249176946,13.945239610052786,13.031931576054276,12.22807877789853,11.561921503571298,10.391862730384744,9.34016091047306,8.28679825953266,7.578593420708524,7.208455278692205,6.981516327308917,6.881173793740072,6.697359887818303,6.456952529882248,6.208221717692775,6.000019724575196,5.874833680861153,5.793297632700629,5.715210719857783,5.598220623977333,5.446384993944402,5.291159794526726,5.239666149216228,5.177423581877003,5.136753645948527,5.093568616657256
R26.0,16.309476004332986,15.246049557786964,14.2478979501897,13.313637877542972,12.492553159384885,11.808895560611784,10.61031463005828,9.53317334801499,8.457606315936596,7.734457120905066,7.353704676449128,7.120919410454487,7.016291752689337,6.826899803193063,6.576833114554511,6.319619267998319,6.101813861698689,5.970461482035157,5.886775923448936,5.807229954558951,5.6887333978027055,5.5337120679341165,5.375766313250102,5.321637032622814,5.258198160179517,5.216367754700817,5.175388086172
R27.0,16.64657010521504,15.563065376761458,14.546282636131153,13.590819654290335,12.753733286087735,12.053180433256962,10.825803431838352,9.723399810499934,8.624378331630377,7.88516556105025,7.4956212595992096,7.25667788699941,7.147901744392487,6.95241909412974,6.694348992082975,6.427004364440434,6.199772699182159,6.062896463181765,5.976998836538392,5.8967792645389885,5.776544271144415,5.618955314301591,5.45828194782542,5.401904578027113,5.336078812050763,5.2947607774844805,5.2535108985666525
R28.0,16.977712910994676,15.8750087055437,14.839746085170258,13.862750517946434,13.01158327761185,12.293000112885586,11.03786631775311,9.911074900398464,8.787710202557333,8.033661090737386,7.634401930058175,7.389165428120704,7.276001305277625,7.074336993929611,6.808619853105457,6.530772630073461,6.295147532902272,6.152747296861596,6.064377775948668,5.982467604471486,5.860393830472951,5.701221303271108,5.538429608367778,5.479687911384152,5.41274639949636,5.370868216565516,5.330143427515015
R29.0,17.303640261156126,16.180668255815792,15.127579172834132,14.132135570659566,13.26499357324632,12.53059869356057,11.24749637006695,10.096733886240616,8.948472742484846,8.178430593976636,7.770401930872633,7.519238698322123,7.401494757414127,7.194105918919758,6.919518596448624,6.631550891749098,6.38767085742717,6.239355449208794,6.148093943887904,6.065997713212938,5.942898677312057,5.781101850729599,5.616334846197414,5.555159411411239,5.486697157234676,5.443507568401701,5.405209339759567
R30.0,17.622734918706932,16.482176235504674,15.411854202813863,14.397654179641002,13.511844922158025,12.763741618776905,11.45402049896744,10.28054411322777,9.105917431524173,8.320957084813925,7.9019437040572065,7.6464210963700285,7.523634927302225,7.310674405350723,7.027287488183031,6.7294563511971885,6.477588233375134,6.323267756966565,6.230231217207823,6.1463089145710565,6.021524083739783,5.859605797549536,5.691996382914278,5.627792874517839,5.557803472936618,5.514680449027075,5.47593747496315
R31.0,17.938674526246494,16.781107406741512,15.695011467622212,14.66082541868617,13.75586057721629,12.993947183296406,11.657477341969276,10.461669886157564,9.260799786178758,8.459821720432137,8.031046830127533,7.769429572368761,7.642129266044654,7.423671335589816,7.132553746514139,6.825475070004051,6.564115490931509,6.404474715113304,6.30937957996753,6.223324387234549,6.09818488324492,5.934509751546274,5.765465904310533,5.698719992839337,5.626989064300158,5.583245734402917,5.544629648837998
R32.0,18.254423773865355,17.0818799920699,15.980404086667503,14.925838637779211,14.00078845606822,13.22283970882547,11.859400805754378,10.641619549999202,9.413739243120794,8.59592644410592,8.1580984063781,7.890220195640845,7.758265521519807,7.533528661013252,7.234556849938029,6.917977387739083,6.648040321824326,6.48283124223564,6.384887637869124,6.298352554991739,6.1720986910063935,6.007485240755157,5.8358247609057,5.7676356295401146,5.694006763580537,5.649817839405843,5.611125947698487
R33.0,18.569545829013062,17.383334809172496,16.267710120552742,15.19458565802432,14.249667202718191,13.453524312411666,12.058284572328915,10.820221486156257,9.56700692112998,8.730788267503836,8.281525371596814,8.008686215086538,7.871591338258437,7.640468198040936,7.333232206344791,7.006958334110507,6.729129059880217,6.558501592939667,6.458793294401455,6.371370956551967,6.2436631327877645,6.077914532074529,5.90520530051854,5.833566278610736,5.759339025691046,5.714393811833608,5.674750756034413
R34.0,18.885047978878436,17.68693935524101,16.55707675983104,15.465343472206529,14.50164682327301,13.68840163844737,12.25583472835363,10.996145646186903,9.71804220245978,8.862197398181902,8.402886418964957,8.123505314300647,7.981395412818815,7.745676276641301,7.429576621810117,7.094338741104972,6.80746085426148,6.631259029527805,6.52915731832093,6.440838945880013,6.312157773373672,6.1470091527746575,5.972505925086499,5.898239632371107,5.8226949655073685,5.776170010538825,5.737111287315817
R35.0,19.201135506653014,17.990864185672468,16.84921008723358,15.73994466991164,14.75649818115624,13.925202210499348,12.455549717918853,11.170960143308516,9.867923783456291,8.992393069584942,8.522099290453157,8.23625307932264,8.088642134579796,7.847675804591306,7.523580095677584,7.179506294864515,6.883469337025634,6.70189156226453,6.597194649255679,6.508104300070889,6.380177689225118,6.21389265941047,6.036633132712382,5.961578524290404,5.883411911543899,5.837397976433166,5.798025472298293
R36.0,,,17.142370176951324,16.018330517419056,15.0148112328966,14.164034395808752,12.658509684508353,11.343948517011224,10.016493355490956,9.121746400038196,8.639197575321916,8.34685763167522,8.194443942239484,7.946587688197282,7.61536612470645,7.260664409449493,6.956943794462298,6.770673307614894,6.662978971072813,6.573199246399865,6.445100757292849,6.27737892227988,6.100459644594625,6.022262511018885,5.94295760111234,5.896043765721135,5.856822254680062
R37.0,,,,16.299008935388834,15.277017661220018,14.407463471098776,12.865322255414302,11.518876495517418,10.16452879564886,9.248166976619247,8.75394907733449,8.45551020033661,8.296713492016325,8.04285056967679,7.702958030725345,7.33982294258688,7.028211461750069,6.83573971983479,6.726236170952733,6.636111069860504,6.507331145995394,6.340080255512863,6.162389516191249,6.081579480775233,6.001235920923861,5.952744676959721,5.913371975605337
