,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R31.0,18.038740101583514,15.96935758208017,14.781282542696124,13.648653023151468,12.669689848199237,11.934187654955224,10.978776190397614,10.33077691848332,9.873503802355312,9.447146169950827,9.251394958825076,9.157055438353073,8.7278965747082,8.008406591544782,7.429117903905828,7.105785612964283,6.9491428204970305,6.802034639250014,6.663684791061566,6.568131646891977,6.4360296929496394,6.269152672772005,6.11332651266946,6.040150551892179,5.975904255309546,5.9299961064035065,5.92578903656181
R32.0,18.379513282686347,16.28357421805943,15.074985572735788,13.918870972756856,12.911513642425055,12.150255855346813,11.165927031687442,10.505379521367257,10.035055807335773,9.59477152511246,9.389949164641191,9.290903461236278,8.856449670952294,8.126765817093773,7.535435956470231,7.204793445856417,7.040298853666505,6.887613448991326,6.746747160848343,6.649966401675466,6.516413928446227,6.345700961665196,6.186787270384379,6.111729702657129,6.045814386957955,5.997980613639088,5.992743659067441
R33.0,18.720904873615574,16.60062248946721,15.372017472766498,14.192293788692961,13.15797455789811,12.369030164706938,11.351232388106858,10.678519067575483,10.195711280926076,9.740900471734719,9.52642938048621,9.421873351172898,8.982220375876045,8.24251681092416,7.64003092603072,7.3006778745819565,7.129068686461225,6.970798671469367,6.827263900557603,6.729040256909454,6.5939321047772745,6.420162895398597,6.258182174332455,6.181107783818669,6.11353386265559,6.064163536062406,6.05751528331119
R34.0,19.06333644040035,16.920416037122497,15.67269877670492,14.469282145416182,13.408731382059049,12.592516612757706,11.534721419893145,10.85012390688268,10.355801103547853,9.88563781372061,9.660997053092311,9.550415326924323,9.1052430340246,8.35582101328334,7.7427682325553135,7.394107992416345,7.214343741540068,7.05184588825771,6.9053180359044095,6.806139768290191,6.669579297894554,6.492693346707707,6.327337331453057,6.248439395378183,6.179249358311399,6.128757667426683,6.120175401780205
R35.0,,17.242960091314984,15.977192949095787,14.75067930729283,13.664004498857853,12.820763595267547,11.718992442023325,11.020629027696,10.515117743903879,10.02977982681086,9.793843447238636,9.67647888350272,9.225566180088048,8.466734802642126,7.8423960013059215,7.485306756902174,7.297492833566547,7.12984367171882,6.981051840489545,6.880846739846794,6.7432472697972266,6.563229497489457,6.394408853359863,6.313790835965893,6.243040707189792,6.190986301668305,6.180847053944194
R36.0,,,16.28545262587128,15.03650376378148,13.92384507185235,13.053482587040419,11.907456240270026,11.190030132935078,10.67356927672376,10.173335938441621,9.92500420685261,9.799905943864445,9.343233122271755,8.575545636342547,7.940228776333365,7.574752169013319,7.378706569369533,7.205239775014968,7.054453363704392,6.953556905242181,6.815015234710987,6.631593598473717,6.459616433187162,6.377188731293289,6.305037012183399,6.251591518979357,6.239653451008051
R37.0,,,,15.3269266769137,14.189169862681094,13.290787945732054,12.10086658947679,11.359354871239265,10.83121196639334,10.315982154844164,10.054916476255137,9.921649198899054,9.459063927953604,8.682511896991752,8.036460641938348,7.6618315374070285,7.4572679561307815,7.278658163670878,7.125840087943577,7.024161070779757,6.884549488855137,6.697952803254927,6.523053351707285,6.438903254532703,6.3653441804008635,6.310371710944721,6.296784988685793
R38.0,,,,,14.459818194385633,13.533397271249338,12.298002440448963,11.53175507458176,10.988088868541402,10.457965963876147,10.18378966574431,10.04152348094678,9.572787650512677,8.787064076505047,8.131027356911373,7.746250345083995,7.533385465396071,7.350377909186387,7.195174402775888,7.093165084858261,6.952276177916685,6.762761542479277,6.5848437266093764,6.499051792936635,6.424099892613437,6.367612438652116,6.352313156791999
R39.0,,,,,,13.781461264313775,12.50071425616835,11.708962608598448,11.145325235393173,10.599319566284649,10.311761625865653,10.159895857314702,9.684631463787982,8.889615686818566,8.223133089689856,7.829910260238879,7.6076997547325025,7.419301137014289,7.262796150475486,7.160322468937486,7.018489435484389,6.826138459654636,6.645225846958204,6.557766062414877,6.48143594216911,6.42359882620941,6.406440678726234
R40.0,,,,,,,12.707317327175723,11.890830722368204,11.306735715960047,10.740029744662156,10.4386913627296,10.27666684729413,9.793920712828005,8.990654226886061,8.31390195578431,7.911466227938899,7.680623652883909,7.486537826946349,7.328437294979551,7.2256278325601535,7.0832079310530975,6.888049232495105,6.703883673830345,6.615216874521328,6.537445185042351,6.478096305655106,
