,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R24.0,0.5198164241153589,0.5368012979176193,0.6183115494362358,0.7715804234962436,0.9481109699060254,1.004669024008633,0.9759338102360404,0.918441023724905,0.8568736877781221,0.8053465236305762,0.7507325644568521,0.7194142232793242,0.7413879561278979,0.7562659404647782,0.7728160097835486,0.779518627258948,0.7536382008035553,0.7338189642528197,0.7079250902309173,0.6952765034927009
R25.0,0.5151096400786837,0.5280228054094815,0.5999923094723835,0.7476981141533289,0.9229630619728896,0.9819194297755303,0.954810017082077,0.897644675375479,0.835709126486665,0.7849010367147526,0.7328368072865645,0.7033124339245678,0.724752190956118,0.7391083155997167,0.7550006544455332,0.7615425273480798,0.7366951607288841,0.7162836789011275,0.6921616801918561,0.6803369123364131
R26.0,0.5115065052095742,0.5210883401957495,0.5831359576871465,0.7253524405331203,0.89820602615009,0.9595253510625125,0.9342952151544238,0.8776165488721414,0.8154250710684321,0.7659542925021888,0.7160458159745493,0.6874860756493598,0.7090355801102799,0.7228594472723014,0.7379798722191122,0.7445485337157222,0.7206067476904495,0.699489345439687,0.6770559947865388,0.6660781496591615
R27.0,0.509027842452714,0.5159574719403527,0.5680809150154082,0.7041868795658959,0.8741046129153694,0.9375200014222904,0.9143203765016453,0.858364355996983,0.7960755205473871,0.7477601142373764,0.7005438212962811,0.6736445291935742,0.6942044967017541,0.7074505435520475,0.7217182304276247,0.7281211576036162,0.7049346403875288,0.6834256434413708,0.6626252049588849,0.6525078067245713
R28.0,0.5074765412809028,0.5121918964447452,0.554357771379589,0.6842400153681316,0.8508531075405669,0.9160083925165212,0.8949244897019294,0.8398353827421255,0.7776027292761675,0.7305714482611398,0.6858990463041744,0.6597967326418155,0.6802116528164894,0.6928497623512618,0.7061997413644104,0.7122822346490664,0.6903529389019966,0.6679772762820382,0.6488754695090005,0.6396560090179285
R29.0,0.5065882237853035,0.5098211455252448,0.5420881222335959,0.6656427639274146,0.8282329677343307,0.8950233397932353,0.8761156818165188,0.8220280713560064,0.7599723979850914,0.7145532735303415,0.6719010111729704,0.6479356443632552,0.6670109426864075,0.6790263163212875,0.6914012450569724,0.6971356495359797,0.6762200641960554,0.653215297316919,0.6357782664424382,0.6275266385040487
R30.0,0.50618747582491,0.5084119825171534,0.5315108602099146,0.64858778220603,0.8063098661002484,0.8746032740109925,0.857813579100025,0.8048915446623058,0.7431796036356386,0.6992162858537173,0.6592079567421548,0.6358552647598135,0.6545680388231347,0.6659505554492103,0.6773072832181898,0.6826550625515146,0.6627659348872315,0.639202425805679,0.6233131402420204,0.6160497376614138
R31.0,0.5059832385291166,0.5078011541560913,0.5221557738275479,0.6327565109144467,0.7851158740702762,0.8547177450523429,0.8400917030628745,0.7884239023692909,0.7271608566902781,0.6846816698207114,0.6468833382176897,0.6257206830181213,0.6428414382492661,0.6535866165875701,0.6638968149521177,0.6688979090085897,0.6498791037517455,0.6258796300724723,0.61146754958438,0.6052750815689207
R32.0,0.5058621897738789,0.5076853888179251,0.5141071668710822,0.6180886402444021,0.7646622177956541,0.8352952575359037,0.8229013873871338,0.7726417060271339,0.7119521728800354,0.6709851931441512,0.6359459744250483,0.6152560940576992,0.6318119253775627,0.6419036005806681,0.6511540348716551,0.6557664128350155,0.6376761726184705,0.6132888353203835,0.6002320453334636,0.5951526869146699
R33.0,0.5056281565747793,0.5077482846149819,0.5075322879702214,0.6045195299103053,0.7450206037654153,0.816311294090637,0.8062164971253081,0.7574710356013645,0.6974907497761835,0.6580928148979823,0.6251080935154721,0.6066515805133461,0.6214632029004686,0.6308764020375279,0.6390306191860177,0.6432502213971346,0.6260864577767382,0.6013531655279811,0.5895866309825426,0.5856721002583929
R34.0,0.5054480371691585,0.5078304766476498,0.5019347685229707,0.5921674014316992,0.7263592146482445,0.7978366058084104,0.7900885758448306,0.7429287619709274,0.6837547469171492,0.645961626383616,0.6157146029967935,0.5975983491858946,0.6117444179718581,0.6204810513988306,0.6275069739960182,0.6313377880506542,0.6151215826288972,0.5900963497308466,0.5794852777406408,0.5768132110497706
