,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R27.0,0.5021229093479858,0.494735835876583,0.4969301305004965,0.49866309985932417,0.4963973118575029,0.49667709262842624,0.49919186641562585,0.49949732242267253,0.5150979140568889,0.5587217130867849,0.6079862317509592,0.6523515449078116,0.6816539706073598,0.7001942982369395,0.704809992799466,0.695901333317134,0.6760477729354165,0.6487276763227279,0.6238371501319847,0.5974216320037344,0.5827160314186299,0.5721980832403498,0.5661347075707692,0.5548653561833674,0.5644917472242863,0.5607492881588898,0.5535938270060053
R28.0,0.5027700165294567,0.49618876046074617,0.4978357713532742,0.49916209304561077,0.4965077020882912,0.49648508799980967,0.4983961827477118,0.49839512918104745,0.5087750845907159,0.5453228038841362,0.5885709713606904,0.629933201666195,0.6587758945405207,0.6766002170198974,0.6808352796483416,0.6734057209679767,0.6558492704250372,0.6300225912589744,0.6077227471816239,0.5835359599916109,0.5705273200131158,0.5593584066378617,0.5544269168737591,0.5441264033318147,0.5554822455648878,0.5517442743791411,0.5452318279177645
R29.0,0.5046810251550112,0.49749567948423,0.49920209721301273,0.5002569066489432,0.4958298445173391,0.49624959580046063,0.4987958504431634,0.49876962907080663,0.5038236805201076,0.5324107527541461,0.5713115013416425,0.6091956471105727,0.6364103949498987,0.6536329724999252,0.6588488322493212,0.6531329973114228,0.6359923196392442,0.6130858986304729,0.591756000794596,0.5701970675298149,0.5573418138262433,0.5488477174725485,0.5441613806580852,0.5363047037363889,0.547762934280244,0.5446541788616722,0.5360932611152499
R30.0,0.5062933281334591,0.4981563989296733,0.5009007881630428,0.5011256275318325,0.4965827762146608,0.49651394602299015,0.4988406537943439,0.4985012630303556,0.5009090308399143,0.5233789133245743,0.5559879695139892,0.5907988035158462,0.616134721957043,0.6327852399918188,0.6394941735783018,0.6339948700845361,0.6184612571871222,0.5977668917374429,0.5778807544179398,0.5579501264899501,0.5473410374928475,0.5392603984034537,0.5352853391673076,0.5286032469952167,0.5419601219755125,0.5381657714385443,0.5299312878515324
R31.0,0.5059256218660072,0.49930973151499275,0.5025380978957207,0.5016696008121866,0.4977517620956747,0.49696193980596925,0.49815561167398786,0.49873399415737474,0.5003058078373794,0.5153167333089739,0.5438769830496424,0.5751197534651766,0.5990069478266388,0.6141832438646374,0.6203152994239887,0.6161434768255366,0.6025639974785946,0.5837638985663756,0.5658407739243542,0.5480226419825469,0.5381759545628017,0.5303940125885653,0.528164584906523,0.5228050720029187,0.5365175828217683,0.5325067299303373,0.5246274636100651
R32.0,0.5069659378819803,0.5006008686216128,0.5029838574685521,0.5019462910999876,0.4981537325496303,0.4978692566756827,0.4990849295427718,0.4997645075117113,0.5003342161598323,0.5096371228987533,0.5327162500078948,0.5613080102128986,0.5822341932123903,0.596937804045428,0.6021199924125964,0.5990534784624009,0.5874221037921927,0.5706933232904381,0.5560085721599639,0.5378354971056903,0.5298039334079061,0.5229725048299576,0.5218544903737403,0.5182359785418073,0.5323901228953571,0.5286763085658678,0.5205487807131063
R33.0,0.5053192903707875,0.4977225087547998,0.5000762253814243,0.499948892052703,0.496963375813537,0.4989226442363743,0.49941227620854034,0.4994514087771644,0.5001561247208586,0.5057940154890781,0.5239648128161964,0.5482535817933117,0.5672303344255298,0.5815930455608002,0.5870057983589275,0.5842212843476755,0.5736831565066359,0.5590745076988967,0.5454961677776449,0.5296461901480432,0.5228493939853652,0.5164827180630592,0.5167329301439063,0.5140967418361132,0.5286385377813937,0.5259100918242906,0.5186772613959286
R34.0,0.49766173682081405,0.48961506765027885,0.49013818171250995,0.4911730782093084,0.49096999971054645,0.49574043494826303,0.5000867462882536,0.499271351011552,0.4999284173152906,0.5028917155397329,0.5167886407624254,0.537527355188832,0.5549955874697063,0.5682346373429842,0.5731326889663678,0.5715499948364517,0.5615553437939924,0.5479938058946643,0.5363518463697139,0.5231460251059493,0.5178753325518155,0.5115496641865628,0.5115646343870199,0.5109156317698594,0.5257949930817689,0.5239783029441892,0.5161413702280139
R35.0,0.4848473763794149,0.4756598093813225,0.4752141105839411,0.47649511924672666,0.47898058203585014,0.487182037238688,0.499940215663968,0.5001204880322048,0.5002320612747897,0.5023692622972387,0.511206232044323,0.5285308357618196,0.5443218975768059,0.5552493621375498,0.5605843756396748,0.5590408881136099,0.5506347198209952,0.5387193671205267,0.5295677661193667,0.5172388958908156,0.5124990114718703,0.5073477089255216,0.5086233068462794,0.5086820804775382,0.5243803203163829,0.5223200674652019,0.5136944357624975
R36.0,0.467006170847269,0.45595274955550597,0.45471893783477413,0.4571265093641868,0.4611704465428038,0.4733472034267738,0.4951119429364079,0.49961850447812783,0.5003877402024737,0.5004184812294125,0.5073827232086938,0.5208822779969824,0.5345904541778472,0.543665496284617,0.5490595366996307,0.5481032303109914,0.5415756117865704,0.5310327762562461,0.5230402562774173,0.5121954136221447,0.5092571928851697,0.5042743405892439,0.5058301204173665,0.5076902000231588,0.5240859202294568,0.5213495097438029,0.5129858865151594
R37.0,0.4431113801846872,0.4315253440460517,0.42833941087553123,0.4308236678034503,0.4375528473192117,0.4532227595212625,0.48537549002032837,0.49887754858260575,0.5006949925012182,0.5003593026262988,0.504563119796465,0.5150015940199947,0.5259425068677066,0.5347560686355054,0.5393270164879966,0.5389410416459485,0.5320565768629727,0.5240304148935897,0.5175007487097394,0.5081226209002837,0.5063988620411151,0.5018557743500983,0.5037758795357449,0.5069782504271394,0.523733037273087,0.521745317819501,0.5125318745533403
R38.0,0.4139437436334558,0.4009317296416291,0.39681449530203816,0.39889639592426446,0.4086458762133783,0.42778496773405666,0.46873659402445483,0.49492838474865086,0.5010518849351734,0.5017337274582753,0.5023675304606813,0.5097802412733328,0.5188481888067192,0.5271382938718832,0.5313849310887228,0.5300969015339728,0.5260898364987764,0.5187447284246579,0.5127895099582993,0.5053904304797178,0.5034544580577277,0.5002061933408717,0.5025644771708325,0.5063691917898357,0.5233892872124841,0.5218971252718015,0.5125349918944612
R39.0,0.3786240131664384,0.3639883111246496,0.35962998862443607,0.3623610746416406,0.3732522076117578,0.3977221147306705,0.4476747032158142,0.4827895157875067,0.5012109524173806,0.5008033858567985,0.5018135597085518,0.5066575900692506,0.5136083444227733,0.5203935545942099,0.5237509946573489,0.522928301074844,0.5196290219061406,0.5133689401145344,0.5091333796712214,0.5027857227522101,0.5025285483297415,0.49888729719247377,0.5017766982599288,0.5065398607607746,0.5234704407630164,0.5217970049262134,
R40.0,0.33799427792351655,0.32244334238232275,0.31582813454300357,0.3200038437674826,0.3329989898738502,0.3615371803039215,0.4208238051696043,0.4657164242787299,0.5000776707210622,0.5005618101675751,0.5009531829798924,0.5044555151573762,0.5099509861659451,0.5145572050692429,0.5174751496403869,0.5180398656701347,0.514256601741095,0.5096138152432532,0.5058011946428862,0.5009934237022802,0.5018877503936526,0.4979504558337287,0.5009967654183347,0.5066593662007824,0.5244965675241421,0.5234623749038513,
