,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R50.0,,,,,0.2690100088868657,0.3527886040196337,0.4558985125419377,0.49976792992384783,0.499806663152549,0.49990643252699035,0.5007981571690918,0.5004061253912576,0.4998813175404454,,,,0.5004584869749362,0.49845901837443063,0.5179978596513776,0.49805126954186896
R51.0,,,,,0.21448151941581528,0.3087922674536522,0.4302360365700002,0.4999261416747881,0.4999343340550153,0.4998122982723635,0.5004213901950381,0.5004183465918451,0.49970862483612083,,,,0.5002821969492184,0.4984768838121842,0.5180272655926398,0.49810917067124777
R52.0,,,,,,0.25914566347042106,0.3987668184609446,0.4974137795769494,0.5000719235680925,0.5003250643357292,0.5005768651749912,0.49999710905220107,0.49974624862582007,,,,0.5006355309309628,0.49863307887954755,0.5181449056932188,0.4980872347423718
R53.0,,,,,,0.2037322940098301,0.3614998322286748,0.48933365892248026,0.5002550044977473,0.4998318959167208,0.49988706223910256,0.4997746806200124,0.49976898674359865,,,,0.5005366119899172,0.49880301174434544,0.5181060131573122,0.4979667694772256
R54.0,,,,,,,0.3181983322086895,0.47510698456942035,0.500460902020582,0.5002480747913082,0.500070046275184,0.49967038135823066,0.4997214069170873,,,,0.5005968602598844,0.498853963721547,0.5181735846036635,0.49805216242172556
R55.0,,,,,,,0.26925345752538116,0.45508117383220276,0.5006510192368733,0.4999633766131084,0.4994640941837758,0.49929863576011974,0.49956040733035584,,,,0.50070619897385,0.4990559832169139,0.5182019272006425,0.4979397407922191
R56.0,,,,,,,0.21426675845236032,0.42937402353269827,0.5007554610497268,0.5001670123920819,0.4994420577606099,0.4994819282111396,0.4994799041771577,,,,0.5006836422289185,0.4992352074137959,0.5180743160356428,0.4978881557277687
R57.0,,,,,,,,0.39752669467873947,0.5007798646444297,0.5001817570219205,0.49930392042575117,0.4990757712067371,0.4994461187438372,,,,0.500722660710664,0.4992874349497195,0.5184196643515985,0.4978600852704129
R58.0,,,,,,,,0.3600482013764995,0.5008014313836284,0.4998356481195401,0.49903220078482025,0.4994443456069737,,,,,,0.499467092470918,0.5180366372629926,0.4977438120425006
R59.0,,,,,,,,0.31650299821558003,0.4986380223121495,0.5001513339292866,0.49924475496764725,0.49918776733426656,,,,,,0.49962373916394603,0.5181388621491767,0.4977097039558053
R60.0,,,,,,,,0.26717839048456177,0.4909368051337943,0.4997180013768739,0.49881386788311927,0.49913376293770356,,,,,,0.4996448318616267,0.5182080316215961,0.49762181515206927
R61.0,,,,,,,,,0.4771975645689561,0.5002716100495245,0.499213209968064,0.4990756987750416,,,,,,0.49978725708757477,0.5177662274276446,0.49757861538798104
R62.0,,,,,,,,,0.4575723644753278,0.49981570845807743,0.49879327849742944,0.4991100947202668,,,,,,0.4999156292797109,0.517899522665862,0.4974327756307443
R63.0,,,,,,,,,0.43203826096870085,0.5000741617075478,0.4991040681288978,0.4990748976086593,,,,,,0.4999049703263855,0.5178262322096692,0.49726064075547793
R64.0,,,,,,,,,0.40051820857354964,0.49995281180494033,0.49911453029048897,,,,,,,0.5000242616686136,0.5174917048984761,0.49718824067578166
R65.0,,,,,,,,,,0.5000351602132518,0.49916396173669686,,,,,,,0.5000986639301024,0.5176225541177133,0.4971428754378369
R66.0,,,,,,,,,,0.49786291626907286,0.49931353942615186,,,,,,,0.5001152256520751,0.5173176534449079,
R67.0,,,,,,,,,,0.4899605373020586,0.4994198251894846,,,,,,,0.5002308946422542,0.5173138480759342,
R68.0,,,,,,,,,,,,,,,,,,0.5002261837288228,0.5171324440109306,
R69.0,,,,,,,,,,,,,,,,,,0.5004228309813755,0.515572621421225,
R70.0,,,,,,,,,,,,,,,,,,0.5002499940969694,0.511411211600647,
R71.0,,,,,,,,,,,,,,,,,,0.5004960562677299,0.5064396750823509,
R72.0,,,,,,,,,,,,,,,,,,0.501106200037825,,
